Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52180973,Trixie and Katya's Guide to Modern Womanhood,Trixie Mattel,"Mattel, Trixie",Katya,"=""0593086708""","=""9780593086704""",3,4.01,Plume Books,Hardcover,208,2020,2020,2024/05/07,2024/05/03,"ebook-collection, read-ebooks, read-audiobooks, audiobook-collection, lgbt, people","ebook-collection (#75), read-ebooks (#26), read-audiobooks (#3), audiobook-collection (#3), lgbt (#3), people (#11)",read,,,,1,0
58484903,Tears of My Mother: The Legacy of My Nigerian Upbringing,Wendy Osefo,"Osefo, Wendy",,"=""1982194502""","=""9781982194505""",0,3.78,Gallery Books,Hardcover,272,2022,,,2024/03/11,"to-read, audiobook-collection","to-read (#286), audiobook-collection (#4)",to-read,,,,0,0
4758530,"Elephants can Remember (Hercule Poirot, #42)",Agatha Christie,"Christie, Agatha",,"=""0002312107""","=""9780002312103""",0,3.66,HarperCollins,Hardcover,191,2009,1972,,2024/09/24,"to-read, paper-collection","to-read (#371), paper-collection (#199)",to-read,,,,0,0
32542,"A Time to Kill (Jake Brigance, #1)",John Grisham,"Grisham, John",,"=""""","=""""",0,4.12,Dell,Mass Market Paperback,738,2004,1989,,2020/04/14,"to-read, ebook-collection","to-read (#62), ebook-collection (#151)",to-read,,,,0,0
58201518,The Heart Principle,Helen  Hoang,"Hoang, Helen","Brian Nishii, Natalie Naudus","=""1662010192""","=""9781662010194""",0,3.93,"Dreamscape Media, LLC",Audiobook,9,2021,2021,,2021/09/14,"to-read, ebook-collection","to-read (#129), ebook-collection (#108)",to-read,,,,0,0
58375739,Will,Will  Smith,"Smith, Will",Mark Manson,"=""1984877925""","=""9781984877925""",0,4.25,Penguin Press,Hardcover,418,2021,2021,,2021/11/08,"to-read, ebook-collection","to-read (#161), ebook-collection (#111)",to-read,,,,0,0
53063341,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""""","=""""",0,4.13,Penguin,Paperback,372,2020,2020,,2021/09/08,"to-read, paper-collection, ebook-collection","to-read (#11), paper-collection (#92), ebook-collection (#78)",to-read,,,,0,0
72403220,"Everyone In My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,"Stevenson, Benjamin",,"=""1761048848""","=""9781761048845""",0,3.77,Penguin,Paperback,366,2022,2022,,2024/01/16,"to-read, ebook-collection, paper-collection","to-read (#262), ebook-collection (#131), paper-collection (#123)",to-read,,,,0,0
29475332,"Us (Him, #2)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1942444133""","=""9781942444138""",0,4.26,Rennie Road Books,Paperback,322,2016,2016,,2022/05/25,"to-read, ebook-collection","to-read (#211), ebook-collection (#216)",to-read,,,,0,0
216523504,Here One Moment,Liane Moriarty,"Moriarty, Liane",,"=""0241396115""","=""9780241396117""",0,4.02,PENGUIN,Paperback,488,2024,2024,,2024/08/30,"to-read, ebook-collection","to-read (#357), ebook-collection (#221)",to-read,,,,0,0
216458750,"The Maid's Secret (Molly the Maid, #3)",Nita Prose,"Prose, Nita",,"=""0735250561""","=""9780735250567""",3,3.92,Viking,Kindle Edition,326,2025,2025,2025/05/31,2024/08/06,"ebook-collection, light, murder, mystery, read-ebooks","ebook-collection (#238), light (#12), murder (#26), mystery (#37), read-ebooks (#75)",read,,,,1,0
208651136,Atonement,Ian McEwan,"McEwan, Ian",,"=""0099429799""","=""9780099429791""",0,3.95,Vintage,Paperback,372,2023,2001,,2024/07/24,"to-read, paper-collection","to-read (#329), paper-collection (#132)",to-read,,,,0,0
203955668,"We Solve Murders (We Solve Murders, #1)",Richard Osman,"Osman, Richard",,"=""0593653238""","=""9780593653234""",4,4.09,Pamela Dorman Books,Kindle Edition,397,2024,2024,2024/12/16,2024/09/20,"ebook-collection, crime, murder, read-ebooks","ebook-collection (#224), crime (#3), murder (#22), read-ebooks (#66)",read,,,,1,0
203382965,"The Last Devil To Die (Thursday Murder Club, #4)",Richard Osman,"Osman, Richard",,"=""0241992400""","=""9780241992401""",4,4.48,Penguin Books,Paperback,422,2024,2023,2025/05/07,2023/09/14,"ebook-collection, paper-collection, read-paper, murder, mystery, light","ebook-collection (#144), paper-collection (#131), read-paper (#89), murder (#28), mystery (#39), light (#13)",read,,,,1,0
199798953,One Perfect Couple,Ruth Ware,"Ware, Ruth",,"=""1668025590""","=""9781668025598""",0,3.64,Scout Press,Hardcover,385,2024,2024,,2024/10/01,"to-read, ebook-collection","to-read (#1), ebook-collection (#231)",to-read,,,,0,0
183131836,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""0349132607""","=""9780349132600""",0,4.20,Bookouture,Paperback,346,2023,2023,,2024/01/26,"to-read, paper-collection, ebook-collection","to-read (#269), paper-collection (#130), ebook-collection (#141)",to-read,,,,0,0
197511201,"The Guncle Abroad (The Guncle, #2)",Steven  Rowley,"Rowley, Steven",,"=""0593540468""","=""9780593540466""",0,3.90,G.P. Putnam's Sons,Kindle Edition,320,2024,2024,,2024/09/26,"to-read, ebook-collection, lgbt","to-read (#373), ebook-collection (#229), lgbt (#7)",to-read,,,,0,0
198281740,The Life Impossible,Matt Haig,"Haig, Matt",,"=""0593489276""","=""9780593489277""",0,3.48,Viking,Hardcover,324,2024,2024,,2024/09/20,"to-read, ebook-collection","to-read (#362), ebook-collection (#222)",to-read,,,,0,0
175407068,Happy Place,Emily Henry,"Henry, Emily",,"=""0241995361""","=""9780241995365""",0,3.96,Penguin Books,Paperback,388,2024,2023,,2022/12/05,"to-read, paper-collection, ebook-collection","to-read (#231), paper-collection (#129), ebook-collection (#140)",to-read,,,,0,0
157067546,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356195""","=""9780593356197""",4,3.80,Ballantine Books,Kindle Edition,289,2023,2023,2024/08/26,2024/07/28,"ebook-collection, read-ebooks, mystery, light, murder","ebook-collection (#214), read-ebooks (#59), mystery (#13), light (#2), murder (#9)",read,,,,1,0
144715767,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1408728516""","=""9781408728512""",0,4.30,Bookouture,Paperback,328,2023,2022,,2024/01/26,"to-read, paper-collection","to-read (#9), paper-collection (#127)",to-read,,,,0,0
123201444,The Takedown,Carlie Walker,"Walker, Carlie",,"=""0593640403""","=""9780593640401""",0,3.83,Berkley ,Kindle Edition,350,2023,2023,,2024/01/17,"to-read, ebook-collection","to-read (#266), ebook-collection (#159)",to-read,,,,0,0
122778070,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",MinaLima,"=""1526666324""","=""9781526666321""",4,4.58,Bloomsbury,Hardcover,468,2023,1999,,2020/04/13,"paper-collection, read-paper","paper-collection (#45), read-paper (#19)",read,,,,1,0
83137176,"10 Things That Never Happened (Material World, #1)",Alexis  Hall,"Hall, Alexis",,"=""1728245109""","=""9781728245102""",0,3.88,Sourcebooks Casablanca,Paperback,432,2023,2023,,2024/07/25,"to-read, ebook-collection","to-read (#338), ebook-collection (#199)",to-read,,,,0,0
67354194,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""0008600309""","=""9780008600303""",4,3.74,Blue Door GB,Paperback,336,2023,2023,2025/03/12,2024/01/31,"source-library, read-paper, ebook-collection, trigger-warning","source-library (#27), read-paper (#86), ebook-collection (#236), trigger-warning (#13)",read,,,,1,0
63876576,I'm Not Done with You Yet,Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593546911""","=""9780593546918""",0,3.66,Berkley,Hardcover,340,2023,2023,,2024/01/17,"to-read, ebook-collection","to-read (#265), ebook-collection (#136)",to-read,,,,0,0
63630445,I Don't Need Therapy: and other lies I've told myself,Toni Lodge,"Lodge, Toni",,"=""1761186221""","=""9781761186226""",3,4.08,Allen & Unwin,Kindle Edition,256,2023,,2024/02/26,2024/02/12,"read-audiobooks, ebook-collection, read-ebooks, audiobook-collection, people","read-audiobooks (#9), ebook-collection (#138), read-ebooks (#39), audiobook-collection (#5), people (#14)",read,,,,1,0
61327512,Vera Wong's Unsolicited Advice for Murderers (Vera Wong #1),Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593546172""","=""9780593546178""",0,4.03,Berkley,Hardcover,339,2023,2023,,2024/05/07,"to-read, ebook-collection","to-read (#291), ebook-collection (#133)",to-read,,,,0,0
61812425,Paris: The Memoir,Paris Hilton,"Hilton, Paris",,"=""0063224623""","=""9780063224629""",0,4.21,Dey Street Books,Hardcover,336,2023,2023,,2024/01/30,"to-read, paper-collection, ebook-collection, audiobook-collection","to-read (#4), paper-collection (#124), ebook-collection (#134), audiobook-collection (#6)",to-read,,,,0,0
61884838,Atalanta,Jennifer Saint,"Saint, Jennifer",,"=""1250855578""","=""9781250855572""",0,3.75,Flatiron Books,Hardcover,291,2023,2023,,2024/07/20,"to-read, ebook-collection","to-read (#297), ebook-collection (#211)",to-read,,,,0,0
61030480,Bet on Black: The Good News about Being Black in America Today,Eboni K. Williams,"Williams, Eboni K.",,"=""0306828642""","=""9780306828645""",4,4.30,Legacy Lit,Hardcover,256,2023,,2024/02/06,2023/10/27,"read-audiobooks, ebook-collection, read-ebooks, audiobook-collection, people, housewives","read-audiobooks (#6), ebook-collection (#132), read-ebooks (#38), audiobook-collection (#7), people (#15), housewives (#1)",read,,,,1,0
60472579,"Exiles (Aaron Falk, #3)",Jane Harper,"Harper, Jane",,"=""1760783951""","=""9781760783952""",0,4.04,Macmillan Australia,Paperback,407,2022,2022,,2024/07/24,"to-read, paper-collection","to-read (#309), paper-collection (#128)",to-read,,,,0,0
60604383,Making a Scene,Constance Wu,"Wu, Constance",,"=""1982188545""","=""9781982188542""",0,3.67,Scribner,Hardcover,336,2022,2022,,2023/03/27,"to-read, paper-collection, audiobook-collection","to-read (#248), paper-collection (#122), audiobook-collection (#9)",to-read,,,,0,0
60046855,"Blackmail and Bibingka (Tita Rosie's Kitchen Mystery, #3)",Mia P. Manansala,"Manansala, Mia P.",,"=""059320171X""","=""9780593201718""",3,3.72,Berkley,Paperback,270,2022,2022,2022/12/06,2022/03/10,"ebook-collection, read-ebooks, light, murder, mystery","ebook-collection (#126), read-ebooks (#36), light (#7), murder (#15), mystery (#22)",read,,,,1,0
60177373,Fairy Tale,Stephen        King,"King, Stephen",,"=""1668002175""","=""9781668002179""",0,4.09,Scribner,Hardcover,607,2022,2022,,2022/12/07,"to-read, ebook-collection","to-read (#235), ebook-collection (#127)",to-read,,,,0,0
60031545,The Nancys,R.W.R. McDonald,"McDonald, R.W.R.",,"=""1760879622""","=""9781760879624""",5,3.77,,Mass Market Paperback,0,2021,2019,2021/02/23,2021/02/03,"read-ebooks, paper-collection, ebook-collection, five-star, lgbt","read-ebooks (#23), paper-collection (#86), ebook-collection (#60), five-star (#38), lgbt (#5)",read,,,,1,0
60046200,Secluded Cabin Sleeps Six,Lisa Unger,"Unger, Lisa",,"=""0369720415""","=""9780369720412""",0,3.44,Park Row,Kindle Edition,406,2022,2022,,2024/08/02,"to-read, ebook-collection","to-read (#346), ebook-collection (#213)",to-read,,,,0,0
59699669,Lovecraft Country,Matt Ruff,"Ruff, Matt",,"=""1509883355""","=""9781509883356""",5,4.01,Picador,Paperback,372,2019,2016,2021/03/13,2021/02/03,"read-ebooks, ebook-collection, paper-collection, five-star, trigger-warning, thriller","read-ebooks (#42), ebook-collection (#152), paper-collection (#135), five-star (#37), trigger-warning (#8), thriller (#10)",read,,,,1,0
59422043,Counterfeit,Kirstin Chen,"Chen, Kirstin",,"=""0063119579""","=""9780063119574""",4,3.48,William Morrow,Kindle Edition,320,2022,2022,2023/04/03,2022/05/30,"ebook-collection, read-ebooks, crime","ebook-collection (#196), read-ebooks (#57), crime (#1)",read,,,,1,0
59582084,The Trivia Night,Ali Lowe,"Lowe, Ali",,"=""1529348811""","=""9781529348811""",0,3.61,Hodder & Stoughton,Hardcover,368,2022,2022,,2022/03/01,"to-read, ebook-collection","to-read (#199), ebook-collection (#123)",to-read,,,,0,0
59366098,Anna: The Biography,Amy Odell,"Odell, Amy",,"=""1982122633""","=""9781982122638""",5,3.77,Gallery Books,Hardcover,464,2022,2022,2022/10/29,2022/05/01,"read-paper, paper-collection, ebook-collection, people, five-star","read-paper (#59), paper-collection (#117), ebook-collection (#122), people (#18), five-star (#46)",read,,,,1,0
59240691,Caught in the Act,Shane Jenek,"Jenek, Shane",,"=""0648795144""","=""9780648795148""",0,4.10,Bloomsbury,Kindle Edition,341,2021,,,2021/11/08,"to-read, paper-collection","to-read (#162), paper-collection (#115)",to-read,,,,0,0
59345249,The It Girl,Ruth Ware,"Ware, Ruth",,"=""1982155264""","=""9781982155261""",3,3.85,Scout Press,Hardcover,423,2022,2022,2023/03/11,2022/07/02,"ebook-collection, read-ebooks, murder, mystery, thriller","ebook-collection (#121), read-ebooks (#35), murder (#14), mystery (#21), thriller (#7)",read,,,,1,0
58770779,A Hard Day for a Hangover,Darynda Jones,"Jones, Darynda",,"=""0349427216""","=""9780349427218""",4,4.24,Piatkus,Paperback,0,2022,2022,2023/04/23,2021/10/28,"source-library, read-paper, ebook-collection","source-library (#23), read-paper (#56), ebook-collection (#118)",read,,,,1,0
59092946,In America: A Lexicon of Fashion,Andrew Bolton,"Bolton, Andrew","Amanda Garfinkel, Jessica Regan, Stephanie Kramer","=""1588397343""","=""9781588397348""",5,4.00,Metropolitan Museum of Art,Hardcover,272,2022,,,2023/03/28,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#10), read-paper (#57), paper-collection (#114)",read,,,,1,0
58757664,"The Man Who Died Twice (The Thursday Murder Club, #2)",Richard Osman,"Osman, Richard",,"=""0241988241""","=""9780241988244""",4,4.36,Penguin,Paperback,423,2022,2021,2024/02/03,2021/10/12,"paper-collection, light, murder, mystery, read-paper, ebook-collection","paper-collection (#169), light (#4), murder (#10), mystery (#17), read-paper (#82), ebook-collection (#227)",read,,,,1,0
58556600,"Three Assassins (Assassins, #1)",Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,"=""1787303217""","=""9781787303218""",0,3.68,Harvill Secker,Paperback,432,2022,2004,,2022/06/23,"to-read, ebook-collection","to-read (#226), ebook-collection (#115)",to-read,,,,0,0
58506799,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,"=""1529087945""","=""9781529087949""",0,4.38,Pan Macmillan,Paperback,400,2021,2020,,2021/10/27,"to-read, ebook-collection, paper-collection","to-read (#18), ebook-collection (#114), paper-collection (#109)",to-read,,,,0,0
58482477,All Dressed Up,Jilly Gagnon,"Gagnon, Jilly",,"=""0593497317""","=""9780593497319""",3,3.09,Bantam,Kindle Edition,352,2022,2022,2024/01/26,2024/01/17,"read-ebooks, ebook-collection, mystery, murder","read-ebooks (#34), ebook-collection (#112), mystery (#19), murder (#11)",read,,,,1,0
58318732,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""176110294X""","=""9781761102943""",0,4.40,Simon & Schuster Australia,Paperback,388,2021,2017,,2021/02/26,"to-read, paper-collection, ebook-collection","to-read (#7), paper-collection (#108), ebook-collection (#109)",to-read,,,,0,0
58313981,Into Every Generation a Slayer Is Born: How Buffy Staked Our Hearts,Evan Ross Katz,"Katz, Evan Ross",,"=""0306826682""","=""9780306826689""",4,3.97,Grand Central Publishing,Hardcover,400,2022,2022,2025/04/25,2025/03/10,"read-audiobooks, read-paper, source-library, audiobook-collection","read-audiobooks (#16), read-paper (#87), source-library (#28), audiobook-collection (#12)",read,,,,1,0
58052538,"Homicide and Halo-Halo (Tita Rosie's Kitchen Mystery, #2)",Mia P. Manansala,"Manansala, Mia P.",,"=""0593201701""","=""9780593201701""",3,3.67,Berkley,Kindle Edition,336,2022,2022,2022/04/18,2021/06/13,"ebook-collection, read-ebooks","ebook-collection (#178), read-ebooks (#51)",read,,,,1,0
58141187,Death of the Black Widow,James  Patterson,"Patterson, James",J.D. Barker,"=""1538709821""","=""9781538709825""",0,3.71,"Little, Brown and Company",Hardcover,520,2022,2022,,2022/12/26,"to-read, paper-collection","to-read (#236), paper-collection (#107)",to-read,,,,0,0
57860498,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1838953949""","=""9781838953942""",0,3.77,Atlantic Books,Paperback,321,2020,2008,,2024/07/24,"to-read, paper-collection","to-read (#322), paper-collection (#105)",to-read,,,,0,0
57113807,Girl A,Abigail Dean,"Dean, Abigail",,"=""0008389063""","=""9780008389062""",0,3.63,HarperCollins,Paperback,336,2021,2021,,2021/03/12,"to-read, ebook-collection","to-read (#100), ebook-collection (#150)",to-read,,,,0,0
57693427,The Night Shift,Alex Finlay,"Finlay, Alex",,"=""1250268885""","=""9781250268884""",0,3.90,Minotaur Books,Hardcover,312,2022,2022,,2022/03/01,"to-read, ebook-collection","to-read (#198), ebook-collection (#107)",to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",0,4.11,"A Jove Book, Berkley",Paperback,356,2021,2021,,2021/11/22,"to-read, ebook-collection","to-read (#172), ebook-collection (#101)",to-read,,,,0,0
56816904,The Sentence,Louise Erdrich,"Erdrich, Louise",,"=""006267112X""","=""9780062671127""",0,3.94,Harper,Hardcover,387,2021,2021,,2021/11/18,"to-read, read-ebooks","to-read (#165), read-ebooks (#33)",to-read,,,,0,0
56898241,"Grave Reservations (The Booking Agents, #1)",Cherie Priest,"Priest, Cherie",,"=""1982168897""","=""9781982168896""",0,3.57,Atria Books,Hardcover,304,2021,2021,,2021/11/13,"to-read, ebook-collection","to-read (#164), ebook-collection (#104)",to-read,,,,0,0
56062591,"The da Vinci Code, Special Illustrated Edition (Robert Langdon, #2)",Dan    Brown,"Brown, Dan",,"=""0593054253""","=""9780593054253""",0,3.93,Bantam Press,Hardcover,467,2004,2003,,2021/02/24,"to-read, paper-collection","to-read (#24), paper-collection (#173)",to-read,,,,0,0
56155168,One by One,Ruth Ware,"Ware, Ruth",,"=""1784708089""","=""9781784708085""",3,3.72,Vintage,Paperback,376,2021,2020,2021/12/11,2020/08/02,"ebook-collection, source-library, read-paper","ebook-collection (#97), source-library (#20), read-paper (#53)",read,,,,1,0
56027211,Contacts,Mark Watson,"Watson, Mark",,"=""0008346976""","=""9780008346973""",4,3.68,HARPERCOLLINS,Paperback,384,2020,2020,2021/11/30,2021/11/18,"source-library, read-paper, ebook-collection, trigger-warning","source-library (#19), read-paper (#52), ebook-collection (#96), trigger-warning (#2)",read,,,,1,0
55886379,Dial A for Aunties,Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0008445850""","=""9780008445850""",4,3.69,HQ,Paperback,298,2021,2021,2021/12/16,2021/04/04,"ebook-collection, source-library, read-paper","ebook-collection (#95), source-library (#18), read-paper (#51)",read,,,,1,0
55868308,The Guncle,Steven  Rowley,"Rowley, Steven",,"=""0525542299""","=""9780525542292""",4,4.12,Penguin Publishing Group,ebook,336,2021,2021,2024/11/09,2021/07/11,"ebook-collection, emotional, read-ebooks, lgbt, funny-haha","ebook-collection (#230), emotional (#1), read-ebooks (#65), lgbt (#8), funny-haha (#1)",read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",0,3.92,Avon,Paperback,397,2021,2021,,2021/08/08,"to-read, ebook-collection","to-read (#120), ebook-collection (#92)",to-read,,,,0,0
55479333,"Out of Character (True Colors, #2)",Annabeth Albert,"Albert, Annabeth",,"=""1728226031""","=""9781728226033""",4,3.87,Sourcebooks Casablanca,Paperback,400,2021,2021,2022/06/09,2022/05/26,"read-paper, source-library, ebook-collection","read-paper (#49), source-library (#16), ebook-collection (#90)",read,,,,1,0
55424906,"Here's to Us (What If It's Us, #2)",Becky Albertalli,"Albertalli, Becky",Adam Silvera,"=""0063071657""","=""9780063071650""",3,4.02,Quill Tree Books,ebook,448,2021,2021,2023/05/28,2021/12/06,"ebook-collection, read-ebooks, lgbt, romance","ebook-collection (#89), read-ebooks (#30), lgbt (#4), romance (#6)",read,,,,1,0
55275757,You and Me on Vacation,Emily Henry,"Henry, Emily",,"=""0241992230""","=""9780241992234""",4,3.85,Penguin UK,Paperback,364,2021,2021,2022/04/29,2021/09/13,"read-paper, paper-collection, ebook-collection","read-paper (#48), paper-collection (#99), ebook-collection (#88)",read,,,,1,0
55404546,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1524798657""","=""9781524798659""",0,4.03,Ballantine Books,Hardcover,369,2021,2021,,2021/06/16,"to-read, ebook-collection","to-read (#115), ebook-collection (#181)",to-read,,,,0,0
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,"=""125077358X""","=""9781250773586""",0,3.79,Flatiron Books,Hardcover,308,2021,2021,,2022/06/22,"to-read, ebook-collection","to-read (#224), ebook-collection (#86)",to-read,,,,0,0
54351235,"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,"Manansala, Mia P.",,"=""059320168X""","=""9780593201688""",4,3.54,Berkley,Kindle Edition,336,2021,2021,2021/07/10,2024/09/29,"read-ebooks, ebook-collection","read-ebooks (#32), ebook-collection (#99)",read,,,,1,0
54345842,"Bullet Train (Assassins, #2)",Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,"=""1787302598""","=""9781787302594""",4,3.85,Harvill Secker,Paperback,415,2021,2010,2021/11/14,2021/04/05,"read-paper, source-library, ebook-collection","read-paper (#47), source-library (#15), ebook-collection (#85)",read,,,,1,0
54304210,The Barbizon: The Hotel That Set Women Free,Paulina Bren,"Bren, Paulina",,"=""1982123893""","=""9781982123895""",0,3.67,Simon & Schuster,Hardcover,336,2021,2021,,2021/11/03,"to-read, paper-collection","to-read (#159), paper-collection (#182)",to-read,,,,0,0
53814749,The Wife and the Widow,Christian  White,"White, Christian",,"=""1925972755""","=""9781925972757""",0,3.99,Affirm Press,Paperback,353,2020,2019,,2024/08/24,"to-read, paper-collection","to-read (#351), paper-collection (#184)",to-read,,,,0,0
53979404,A Good Day for Chardonnay (Sunshine Vicram #2),Darynda Jones,"Jones, Darynda",,"=""0349427186""","=""9780349427188""",4,4.25,Piatkus,Kindle Edition,400,2021,2021,2023/03/18,2021/09/13,"ebook-collection, read-ebooks, light, murder, mystery","ebook-collection (#83), read-ebooks (#28), light (#8), murder (#17), mystery (#24)",read,,,,1,0
53205888,Under the Whispering Door,T.J. Klune,"Klune, T.J.",,"=""1250217342""","=""9781250217349""",0,4.12,Tor Books,Hardcover,376,2021,2021,,2021/11/20,"to-read, read-ebooks","to-read (#168), read-ebooks (#27)",to-read,,,,0,0
53368423,A Lonely Girl is a Dangerous Thing,Jessie Tu,"Tu, Jessie",,"=""1760877190""","=""9781760877194""",3,3.18,Allen & Unwin,Paperback,293,2020,2020,2022/06/19,2022/05/26,"source-library, read-paper","source-library (#13), read-paper (#45)",read,,,,1,0
53026785,Strangers on a Train,Patricia Highsmith,"Highsmith, Patricia",Paula Hawkins,"=""1784876771""","=""9781784876777""",0,3.72,Vintage Classics,Paperback,288,2021,1950,,2024/07/24,"to-read, paper-collection","to-read (#326), paper-collection (#95)",to-read,,,,0,0
52390331,Family Trust,Kathy Wang,"Wang, Kathy",,"=""1789543479""","=""9781789543476""",3,3.21,Head of Zeus,Paperback,400,2019,2018,2021/10/19,2021/02/03,"read-paper, source-library, paper-collection","read-paper (#30), source-library (#4), paper-collection (#73)",read,,,,1,0
52814139,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,"Jackson, Holly",,"=""140529860X""","=""9781405298605""",0,4.19,Electric Monkey,Paperback,565,2021,2021,,2021/03/29,"to-read, paper-collection, ebook-collection","to-read (#105), paper-collection (#93), ebook-collection (#79)",to-read,,,,0,0
52070925,Sex and Vanity,Kevin Kwan,"Kwan, Kevin",,"=""1786332280""","=""9781786332288""",3,3.33,Hutchinson,Paperback,368,2020,2020,2021/10/14,2021/10/10,"read-paper, source-library","read-paper (#41), source-library (#9)",read,,,,1,0
51032136,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",MinaLima,"=""1526626586""","=""9781526626585""",5,4.47,Bloomsbury,Hardcover,360,2020,1997,,2020/04/07,"paper-collection, read-paper, ebook-collection, fantasy, five-star","paper-collection (#44), read-paper (#18), ebook-collection (#226), fantasy (#1), five-star (#6)",read,,,,1,0
51865702,In Five Years,Rebecca Serle,"Serle, Rebecca",,"=""1982137460""","=""9781982137465""",3,3.78,Atria Books,Kindle Edition,266,2020,2020,2021/07/18,2021/04/04,"read-ebooks, ebook-collection","read-ebooks (#25), ebook-collection (#72)",read,,,,1,0
51700301,The Office: The Untold Story of the Greatest Sitcom of the 2000s: An Oral History,Andy Greene,"Greene, Andy",,"=""1524744972""","=""9781524744977""",0,4.14,Dutton Books,Hardcover,464,2020,2020,,2021/04/02,"to-read, ebook-collection","to-read (#111), ebook-collection (#74)",to-read,,,,0,0
50833559,Home Before Dark,Riley Sager,"Sager, Riley",,"=""1524745170""","=""9781524745172""",0,4.05,Dutton Books,Hardcover,389,2020,2020,,2021/03/30,"to-read, ebook-collection","to-read (#106), ebook-collection (#225)",to-read,,,,0,0
50820695,Life as a Casketeer: What the Business of Death Can Teach the Living,Francis Tipene,"Tipene, Francis",Kaiora Tipene,"=""1775541487""","=""9781775541486""",0,4.19,HarperCollins - NZ,Paperback,336,2020,,,2021/02/24,"to-read, paper-collection","to-read (#84), paper-collection (#89)",to-read,,,,0,0
49580909,"Eight Perfect Murders (Malcolm Kershaw, #1)",Peter  Swanson,"Swanson, Peter",,"=""0062838210""","=""9780062838216""",3,3.63,William Morrow,Kindle Edition,288,2020,2020,2025/02/25,2020/04/07,"ebook-collection, crime, read-ebooks, murder, mystery","ebook-collection (#76), crime (#5), read-ebooks (#72), murder (#25), mystery (#36)",read,,,,1,0
49202118,"A Rogue of One's Own (A League of Extraordinary Women, #2)",Evie Dunmore,"Dunmore, Evie",,"=""1984805703""","=""9781984805706""",0,4.01,Berkley,Paperback,448,2020,2020,,2021/11/22,"to-read, ebook-collection","to-read (#175), ebook-collection (#66)",to-read,,,,0,0
48857195,About Time: Fashion and Duration,Andrew Bolton,"Bolton, Andrew",Michael Cunningham,"=""1588396886""","=""9781588396884""",5,4.35,Metropolitan Museum of Art,Hardcover,400,2020,,,2021/11/28,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#9), read-paper (#37), paper-collection (#87)",read,,,,0,0
44156814,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,"=""1501190121""","=""9781501190124""",4,3.96,Atria Books,Kindle Edition,349,2019,2019,2024/07/20,2020/04/07,"ebook-collection, read-ebooks, murder","ebook-collection (#59), read-ebooks (#22), murder (#2)",read,"4.5 stars, rounded down.<br/><br/>Most mystery books I've come across start as s low burn before accelerating to the climax in the last third of the book. Not this book! We are dropped right into the mystery with who I would say is the main protagonist, 25-year-old Libby Jones, one of three POVs we get  in the story. All three POVs are set in the present, with one narrating the past events. One of the narrators could be considered as unreliable, which adds to the mystery, but I feel like everything was cleared up at the end<br/><br/>The pacing is good, I didn't feel bombarded by information after a lull in the story; we are fed the information in a steady pace. I personally didn't see the twists and turns coming, which is also quite rare for me with these types of books, which made the read even more enjoyable for me.<br/><br/>-.5 stars for multiple POVs, which a pet peeve of mine, otherwise it was an excellent read that I would totally recommend!",,,1,0
