Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22037471,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.","Jonny Duddle, Tomislav Tomić","=""1408855941""","=""9781408855942""",5,4.58,Bloomsbury,Hardcover,542,2014,2005,,2020/04/13,"paper-collection, read-paper, five-star","paper-collection (#48), read-paper (#22), five-star (#25)",read,,,,1,0
57593396,Anything But Fine,Tobias Madden,"Madden, Tobias",,"=""1761042025""","=""9781761042027""",5,3.95,Penguin Random House Australia,Paperback,336,2021,2021,2021/12/06,2021/09/14,"source-library, read-paper, ebook-collection, paper-collection, five-star","source-library (#22), read-paper (#55), ebook-collection (#106), paper-collection (#104), five-star (#45)",read,,,,1,0
32920313,Diana: Her True Story—In Her Own Words,Andrew Morton,"Morton, Andrew",,"=""1501169734""","=""9781501169731""",0,3.84,Simon & Schuster,Paperback,448,2017,1993,,2021/02/22,"to-read, paper-collection","to-read (#22), paper-collection (#60)",to-read,,,,0,0
58725016,Elektra,Jennifer Saint,"Saint, Jennifer",,"=""125077361X""","=""9781250773616""",0,3.67,Flatiron Books,Hardcover,291,2022,2022,,2024/07/20,"to-read, ebook-collection","to-read (#296), ebook-collection (#117)",to-read,,,,0,0
58502675,"Four Aunties and a Wedding (Aunties, #2)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593333055""","=""9780593333051""",0,3.45,Berkley,Paperback,293,2022,2022,,2021/12/15,"to-read, ebook-collection","to-read (#188), ebook-collection (#113)",to-read,,,,0,0
59763901,Daphne,Josh Malerman,"Malerman, Josh",,"=""059315701X""","=""9780593157015""",0,3.38,Del Rey,Hardcover,262,2022,2022,,2022/10/22,"to-read, ebook-collection","to-read (#229), ebook-collection (#124)",to-read,,,,0,0
25674324,China: Through The Looking Glass,Andrew Bolton,"Bolton, Andrew",,"=""""","=""""",5,4.47,Metropolitan Museum of Art,Paperback,256,2015,2015,,2020/08/27,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#8), read-paper (#63), paper-collection (#133)",read,,,,1,0
40389527,The Woman in the Window,A.J. Finn,"Finn, A.J.",,"=""""","=""""",4,3.94,William Morrow,Kindle Edition,455,2018,2018,2020/04/20,2020/04/07,"read-ebooks, ebook-collection","read-ebooks (#41), ebook-collection (#146)",read,,,,1,0
194802722,Funny Story,Emily Henry,"Henry, Emily",,"=""""","=""""",0,4.20,Berkley,Kindle Edition,400,2024,2024,,2024/01/18,"to-read, ebook-collection","to-read (#267), ebook-collection (#148)",to-read,,,,0,0
51037055,Heart of Junk: A Novel,Luke Geddes,"Geddes, Luke",,"=""1982106689""","=""9781982106683""",2,3.12,Simon & Schuster,Kindle Edition,256,2020,2020,2025/01/12,2020/06/24,"ebook-collection, light, read-ebooks","ebook-collection (#67), light (#11), read-ebooks (#69)",read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.99,Scholastic Press,Kindle Edition,541,2020,2020,,2020/04/07,"to-read, ebook-collection","to-read (#38), ebook-collection (#149)",to-read,,,,0,0
6387445,The Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""009952967X""","=""9780099529675""",0,4.32,Vintage Classics,Paperback,496,2009,1893,,2023/03/26,"to-read, paper-collection","to-read (#244), paper-collection (#21)",to-read,,,,0,0
27248507,Manus x Machina: Fashion in an Age of Technology,Andrew Bolton,"Bolton, Andrew",Nicholas Alan Cope,"=""1588395928""","=""9781588395924""",5,4.56,Metropolitan Museum of Art,Paperback,248,2016,,,2020/08/27,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#4), read-paper (#25), paper-collection (#54)",read,,,,1,0
35492497,Last King of the Cross,John Ibrahim,"Ibrahim, John",,"=""1743539606""","=""9781743539606""",0,4.03,MacMillan,Paperback,374,2017,,,2023/03/26,"to-read, paper-collection","to-read (#246), paper-collection (#66)",to-read,,,,0,0
54345646,The Chiffon Trenches,André Leon Talley,"Talley, André Leon",,"=""0593210239""","=""9780593210239""",0,3.84,Random House Audio,Audiobook,10,2020,2020,,2021/10/24,"to-read, paper-collection, ebook-collection","to-read (#23), paper-collection (#97), ebook-collection (#84)",to-read,,,,0,0
